day,hour,alive,uninfected,infected,recovered,deaths,quarantined,max_infected,variance_infected,mean_infected,run_no,avg_susceptibility,avg_recovery_time,initial_population,initial_infected,average_death_rate,average_recovery_rate,quarantine_delay,mass_testing_intensity,social_distancing_intensity,lockdown_intensity
53,1272,2021,0,393,1628,2979,0,11,1.423284915,2.0223300969999998,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
54,1296,2005,0,338,1667,2995,0,11,1.421977485,2.0225048919999997,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
55,1320,1990,0,283,1707,3010,0,11,1.424732846,2.026600985,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
56,1344,1981,0,244,1737,3019,0,11,1.4264508999999999,2.029673591,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
57,1368,1974,0,213,1761,3026,0,11,1.4274649030000002,2.032738095,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
58,1392,1968,0,171,1797,3032,0,11,1.429189077,2.035856574,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
59,1416,1961,0,135,1826,3039,0,11,1.430918071,2.039,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
60,1440,1956,0,102,1854,3044,0,11,1.431594923,2.041082164,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
61,1464,1955,0,81,1874,3045,0,11,1.4323128230000002,2.04112337,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
62,1488,1952,0,65,1887,3048,0,11,1.432745497,2.0402414490000003,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
63,1512,1947,0,52,1895,3053,0,11,1.432745497,2.0402414490000003,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
64,1536,1946,0,41,1905,3054,0,11,1.433086545,2.041289023,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
65,1560,1945,0,32,1913,3055,0,11,1.4334274319999998,2.04233871,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
0,0,5000,4999,1,0,0,0,0,0.0,0.0,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
1,24,5000,4992,8,0,0,0,4,1.5,1.75,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
2,48,4999,4977,22,0,1,0,5,1.475729575,2.2,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
3,72,4998,4947,51,0,2,0,7,1.863949651,2.260869565,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
4,96,4998,4901,97,0,2,0,8,1.855775428,2.390243902,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
5,120,4992,4848,144,0,8,0,9,1.777414971,2.149253731,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
6,144,4984,4793,191,0,16,0,11,1.7992880690000002,2.301204819,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
7,168,4970,4765,204,1,30,0,11,1.801398505,2.295454545,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
8,192,4959,4744,213,2,41,0,11,1.7620512369999999,2.270833333,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
9,216,4949,4717,229,3,51,0,11,1.80557498,2.35,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
10,240,4938,4703,232,3,62,0,11,1.833441493,2.40776699,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
11,264,4931,4700,227,4,69,0,11,1.83075921,2.401960784,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
12,288,4922,4699,218,5,78,0,11,1.843830632,2.373737374,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
13,312,4912,4699,204,9,88,0,11,1.8702599659999999,2.4,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
14,336,4910,4699,200,11,90,0,11,1.8746158,2.4148936169999997,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
15,360,4902,4699,191,12,98,0,11,1.8872608359999998,2.402173913,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
16,384,4895,4698,180,17,105,0,11,1.9024597540000001,2.425287356,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
17,408,4887,4690,178,19,113,0,11,1.8939400259999999,2.379310345,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
18,432,4880,4663,195,22,120,0,11,1.947059689,2.378947368,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
19,456,4872,4603,243,26,128,0,11,1.816593881,2.276422764,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
20,480,4859,4531,296,32,141,0,11,1.796614912,2.275167785,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
21,504,4843,4451,349,43,157,0,11,1.709680132,2.197860963,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
22,528,4821,4315,459,47,179,0,11,1.6410563919999999,2.128099174,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
23,552,4802,4180,571,51,198,0,11,1.5609139159999998,2.062706271,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
24,576,4777,4101,617,59,223,0,11,1.5611560130000002,2.042553191,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
25,600,4749,4045,637,67,251,0,11,1.539905343,2.026706231,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
26,624,4724,4010,639,75,276,0,11,1.5111564919999998,1.991428571,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
27,648,4699,3992,621,86,301,0,11,1.5457684390000002,2.011594203,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
28,672,4675,3948,635,92,325,0,13,1.57127169,1.994366197,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
29,696,4647,3873,673,101,353,0,15,1.609131695,2.04,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
